n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model_new,FS_classifier_model,remove_multicoli,balancing_sampling_technique,Model,combination,accuracy,precision,recall,auc,log_loss_,cohen_kappa_score_,accuracy_train,ision_train,recall_train,auc_train
27,nothing,knn__uniform,RFE__RF,RFE__RF,Yes,SMOTE,NN,nothing & knn__uniform & RFE__RF & SMOTE & NN,0.5,0.0854,0.6667,0.5774,17.2698,0.0372,0.5209,0.5197,0.5513,0.5209
240,with_NaN,knn__uniform,nothing,nothing,Yes,SMOTEENN,NN,NaN & knn__uniform & nothing & SMOTEENN & NN,0.6688,0.0722,0.3333,0.5131,11.4398,0.0098,0.6453,0.854,0.5693,0.685
8,with_NaN,knn__uniform,BoS__shap,BoS__shap,Yes,ROSE,NN,NaN & knn__uniform & BoS__shap & ROSE & NN,0.1911,0.0701,0.9048,0.5223,27.9397,0.0068,0.5192,0.5109,0.8991,0.5192
240,with_NaN,knn__uniform,nothing,nothing,Yes,ROSE,NN,NaN & knn__uniform & nothing & ROSE & NN,0.6592,0.07,0.3333,0.508,11.7698,0.0058,0.7812,0.7586,0.8248,0.7812
240,nothing,knn__uniform,nothing,nothing,Yes,SMOTEENN,NN,nothing & knn__uniform & nothing & SMOTEENN & NN,0.1115,0.07,1,0.5239,30.6896,0.0067,0.6956,0.6901,1,0.5273
14,3s,knn__uniform,BoS__shap,BoS__shap,Yes,SMOTEENN,NN,3s & knn__uniform & BoS__shap & SMOTEENN & NN,0.2611,0.0694,0.8095,0.5157,25.5197,0.0053,0.6568,0.6302,0.9529,0.6117
27,nothing,knn__uniform,RFE__RF,RFE__RF,Yes,ADASYN,NN,nothing & knn__uniform & RFE__RF & ADASYN & NN,0.0764,0.0675,1,0.5051,31.8996,0.0014,0.5056,0.5015,1,0.5081
25,with_NaN,knn__uniform,RFE__RF,RFE__RF,Yes,ROSE,NN,NaN & knn__uniform & RFE__RF & ROSE & NN,0.0701,0.0671,1,0.5017,32.1196,0.0005,0.5017,0.5009,0.9897,0.5017
12,3s,knn__uniform,BoS__shap,BoS__shap,Yes,ROSE,NN,3s & knn__uniform & BoS__shap & ROSE & NN,0.0669,0.0669,1,0.5,32.2296,0,0.5,0.5,1,0.5
26,3s,knn__uniform,RFE__RF,RFE__RF,Yes,SMOTEENN,NN,3s & knn__uniform & RFE__RF & SMOTEENN & NN,0.0669,0.0669,1,0.5,32.2296,0,0.5962,0.5962,1,0.5
240,with_NaN,knn__uniform,nothing,nothing,Yes,ADASYN,NN,NaN & knn__uniform & nothing & ADASYN & NN,0.0669,0.0669,1,0.5,32.2296,0,0.5042,0.5042,1,0.5
240,with_NaN,knn__uniform,nothing,nothing,Yes,SMOTE,NN,NaN & knn__uniform & nothing & SMOTE & NN,0.0669,0.0669,1,0.5,32.2296,0,0.5,0.5,1,0.5
5,nothing,knn__uniform,BoS__shap,BoS__shap,Yes,SMOTEENN,NN,nothing & knn__uniform & BoS__shap & SMOTEENN & NN,0.0669,0.0669,1,0.5,32.2296,0,0.5813,0.5809,1,0.5014
27,nothing,knn__uniform,RFE__RF,RFE__RF,Yes,SMOTEENN,NN,nothing & knn__uniform & RFE__RF & SMOTEENN & NN,0.0669,0.0669,1,0.5,32.2296,0,0.5886,0.5886,1,0.5
27,nothing,knn__uniform,RFE__RF,RFE__RF,Yes,ROSE,NN,nothing & knn__uniform & RFE__RF & ROSE & NN,0.0669,0.0669,1,0.5,32.2296,0,0.5,0.5,1,0.5
240,nothing,knn__uniform,nothing,nothing,Yes,ADASYN,NN,nothing & knn__uniform & nothing & ADASYN & NN,0.0669,0.0669,1,0.5,32.2296,0,0.5049,0.5049,1,0.5
