,hyperparam,test_accuracy_mean,test_recall_mean,test_precision_mean,test_f1_mean,test_type_1_error_FP_mean,test_type_2_error_FN_mean,test_auc_mean,test_cost_mean,hyperparam_str,batch_size,epochs,activation,dropout_rate,neurons
2125,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 1.5}",0.5821138211382114,0.9779816513761468,0.5871703746977589,0.7335002699416611,149.4,4.8,0.49627559389999387,173.4,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 1.5}",200,10,softmax,0.3,1.5
2130,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 1}",0.5685636856368563,0.771559633027523,0.48695896244676734,0.594998496115387,109.6,49.6,0.5241904125402514,357.6,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 1}",200,10,softmax,0.3,1.0
2135,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 2}",0.5490514905149051,0.5465437788018433,0.3988492808005003,0.4510437580471726,67.8,98.6,0.5495876788746059,560.8,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 2}",200,10,softmax,0.3,2.0
2140,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 0.5}",0.5447154471544715,0.5514607026592822,0.5844903064415259,0.47086593562103063,70.6,97.4,0.5426177685481841,557.6,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 0.5}",200,10,softmax,0.5,0.5
2145,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 1.5}",0.5766937669376693,0.7403542890965206,0.6963187498742769,0.614266814270531,99.6,56.6,0.5423625750118364,382.6,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 1.5}",200,10,softmax,0.5,1.5
2150,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 1}",0.5176151761517616,0.6,0.3533875338753387,0.44479769290253557,91.0,87.0,0.5,526.0,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 1}",200,10,softmax,0.5,1.0
2155,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 2}",0.5777777777777777,0.9806451612903226,0.5841883936080741,0.732110713963578,151.6,4.2,0.4903225806451613,172.6,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 2}",200,10,softmax,0.5,2.0
2160,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 0.5}",0.6569105691056911,0.6421976070688707,0.7416895834709599,0.6878301186149747,48.8,77.8,0.6600714420844528,437.8,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 0.5}",200,100,linear,0.0,0.5
2165,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1.5}",0.6699186991869919,0.7524880564833214,0.723531618172656,0.7257679421641412,68.0,53.8,0.6519149937348638,337.0,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1.5}",200,100,linear,0.0,1.5
2170,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1}",0.6552845528455284,0.6090094279795375,0.7702534156370063,0.6768278722625815,42.2,85.0,0.6652750172313163,467.2,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1}",200,100,linear,0.0,1.0
2175,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 2}",0.6558265582655827,0.6615947237136938,0.7644760732097107,0.6881942037853422,53.4,73.6,0.6548388397236995,421.4,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 2}",200,100,linear,0.0,2.0
2180,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 0.5}",0.6482384823848238,0.6890584703843065,0.7119482689335688,0.6981047817574381,62.2,67.6,0.6392442927034813,400.2,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 0.5}",200,100,linear,0.1,0.5
2185,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1.5}",0.6769647696476965,0.6753604193971167,0.7571292948710947,0.7098240112978887,48.6,70.6,0.6774588782241769,401.6,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1.5}",200,100,linear,0.1,1.5
2190,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1}",0.6617886178861789,0.7129920094702575,0.7187425547751279,0.7120892176454289,62.4,62.4,0.6506490197229293,374.4,"{'batch_size': 200, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1}",200,100,linear,0.1,1.0
