,Unnamed: 0,fold,hyperparam,batch_size,epochs,activation,dropout_rate,neurons,test_cf_matrix,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_type_1_error_FP,test_type_2_error_FN,test_log_loss,test_cohen_kappa_score,hyperparam_str
2377,2377,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 1}",100,20,softmax,0.3,1.0,"[[  0 151]
 [  0 218]]",0.5907859078590786,0.7427597955706985,0.5907859078590786,1.0,0.5,151,0,14.134081232638136,0.0,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 1}"
2378,2378,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 1.5}",100,20,softmax,0.3,1.5,"[[  0 151]
 [  0 218]]",0.5907859078590786,0.7427597955706985,0.5907859078590786,1.0,0.5,151,0,14.134081232638136,0.0,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 1.5}"
2379,2379,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 2}",100,20,softmax,0.3,2.0,"[[ 92  59]
 [ 59 159]]",0.6802168021680217,0.7293577981651376,0.7293577981651376,0.7293577981651376,0.6693146606719728,59,59,11.04504821367979,0.3386293213439455,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 2}"
2380,2380,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 0.5}",100,20,softmax,0.5,0.5,"[[  0 151]
 [  0 218]]",0.5907859078590786,0.7427597955706985,0.5907859078590786,1.0,0.5,151,0,14.134081232638136,0.0,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 0.5}"
2381,2381,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 1}",100,20,softmax,0.5,1.0,"[[  0 151]
 [  0 218]]",0.5907859078590786,0.7427597955706985,0.5907859078590786,1.0,0.5,151,0,14.134081232638136,0.0,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 1}"
2382,2382,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 1.5}",100,20,softmax,0.5,1.5,"[[ 90  61]
 [ 34 184]]",0.7425474254742548,0.7948164146868252,0.7510204081632653,0.8440366972477065,0.7200315936569657,61,34,8.892229086611808,0.4524966029956112,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 1.5}"
2383,2383,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 2}",100,20,softmax,0.5,2.0,"[[ 95  56]
 [ 60 158]]",0.6856368563685636,0.7314814814814815,0.7383177570093458,0.7247706422018348,0.6769548575247584,56,60,10.857839672806858,0.3524748880551858,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 2}"
2384,2384,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 0.5}",100,20,relu,0.0,0.5,"[[ 73  78]
 [ 45 173]]",0.6666666666666666,0.7377398720682303,0.6892430278884463,0.7935779816513762,0.6385108451303239,78,45,11.51309448556523,0.2866483300589391,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 0.5}"
2385,2385,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1}",100,20,relu,0.0,1.0,"[[102  49]
 [ 56 162]]",0.7154471544715447,0.7552447552447553,0.7677725118483413,0.7431192660550459,0.7093079773983839,49,56,9.82821328384743,0.4156549279843149,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1}"
2386,2386,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1.5}",100,20,relu,0.0,1.5,"[[100  51]
 [ 76 142]]",0.6558265582655827,0.6909975669099757,0.7357512953367875,0.6513761467889908,0.6568139012090649,51,76,11.88744005859782,0.3058464546518346,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1.5}"
